Waktu ,SKU,Nama Barang,Jumlah Keluar,Harga Jual,Total,Catatan
2018-01-09 2:38:36,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,"Rp115,000","Rp115,000",Pesanan ID-20180109-853724
2018-01-09 2:38:36,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,"Rp125,000","Rp125,000",Pesanan ID-20180109-853724
2018-01-09 2:07:08,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",2,"Rp115,000","Rp230,000",Pesanan ID-20180108-149680
2018-01-08 22:05:15,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,"Rp125,000","Rp125,000",Pesanan ID-20180108-548167
2018-01-08 22:05:15,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,"Rp115,000","Rp115,000",Pesanan ID-20180108-548167
2018-01-08 21:37:12,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,"Rp120,000","Rp120,000",Pesanan ID-20180108-901847
2018-01-08 15:26:44,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,"Rp110,000","Rp110,000",Pesanan ID-20180108-170723
2018-01-08 15:26:44,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-170723
2018-01-08 11:46:27,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,"Rp110,000","Rp110,000",Pesanan ID-20180108-268141
2018-01-08 11:41:26,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-750817
2018-01-08 10:32:14,SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-921818
2018-01-08 10:09:57,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,"Rp120,000","Rp120,000",Pesanan ID-20180108-054736
2018-01-08 9:51:40,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,"Rp115,000","Rp115,000",Pesanan ID-20180108-771439
2018-01-08 8:12:12,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-514947
2018-01-08 8:12:12,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-514947
2018-01-08 7:18:11,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-300302
2018-01-08 5:14:14,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,"Rp120,000","Rp120,000",Pesanan ID-20180108-314485
2018-01-08 5:14:14,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,"Rp115,000","Rp115,000",Pesanan ID-20180108-314485
2018-01-08 5:08:47,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-712081
2018-01-08 4:43:23,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,"Rp115,000","Rp115,000",Pesanan ID-20180108-290736
2018-01-08 4:43:23,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,"Rp115,000","Rp115,000",Pesanan ID-20180108-290736
2018-01-08 3:54:55,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,"Rp110,000","Rp110,000",Pesanan ID-20180108-516025
2018-01-08 3:42:09,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,"Rp125,000","Rp125,000",Pesanan ID-20180108-232069
2018-01-08 2:52:26,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,"Rp110,000","Rp110,000",Pesanan ID-20180108-787015
2018-01-08 1:06:26,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,"Rp110,000","Rp110,000",Pesanan ID-20180108-806361
2018-01-08 1:06:26,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",1,"Rp115,000","Rp115,000",Pesanan ID-20180108-806361
2018-01-07 23:04:35,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,"Rp130,000","Rp130,000",Pesanan ID-20180107-158796
2018-01-07 19:19:22,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,"Rp130,000","Rp130,000",Pesanan ID-20180107-954171
2018-01-07 16:58:38,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,"Rp125,000","Rp125,000",Pesanan ID-20180107-988936
2018-01-07 14:48:46,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,"Rp130,000","Rp130,000",Pesanan ID-20180107-824047
2018-01-07 14:48:46,SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",1,"Rp115,000","Rp115,000",Pesanan ID-20180107-824047
2018-01-07 14:24:03,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,"Rp130,000","Rp130,000",Pesanan ID-20180107-224203
2018-01-07 13:55:45,SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",1,"Rp130,000","Rp130,000",Pesanan ID-20180107-932533
2018-01-07 13:12:45,SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",1,"Rp120,000","Rp120,000",Pesanan ID-20180107-275815
2018-01-07 12:44:55,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,"Rp110,000","Rp110,000",Pesanan ID-20180107-792305
2018-01-07 12:25:36,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,"Rp130,000","Rp130,000",Pesanan ID-20180107-557472
2018-01-07 11:19:39,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,"Rp125,000","Rp125,000",Pesanan ID-20180107-654373
2018-01-07 10:39:42,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,"Rp130,000","Rp130,000",Pesanan ID-20180107-256771
2018-01-07 10:39:42,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,"Rp125,000","Rp125,000",Pesanan ID-20180107-256771
2018-01-07 10:14:42,SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",1,"Rp115,000","Rp115,000",Pesanan ID-20180107-267724
2018-01-07 10:14:42,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,"Rp110,000","Rp110,000",Pesanan ID-20180107-267724
2018-01-07 9:40:02,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,"Rp110,000","Rp110,000",Pesanan ID-20180107-637443
2018-01-07 8:30:46,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,"Rp130,000","Rp130,000",Pesanan ID-20180107-394574
2018-01-07 7:24:23,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,"Rp120,000","Rp120,000",Pesanan ID-20180107-886518
2018-01-07 6:19:20,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,"Rp125,000","Rp125,000",Pesanan ID-20180107-248621
2018-01-07 6:19:20,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,"Rp115,000","Rp115,000",Pesanan ID-20180107-248621
2018-01-07 6:10:03,SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",1,"Rp125,000","Rp125,000",Pesanan ID-20180107-886941
2018-01-07 3:51:39,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,"Rp110,000","Rp110,000",Pesanan ID-20180107-515949
2018-01-07 3:51:39,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,"Rp125,000","Rp125,000",Pesanan ID-20180107-515949
2018-01-07 2:58:26,SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",1,"Rp130,000","Rp130,000",Pesanan ID-20180107-715783
2018-01-07 2:10:31,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,"Rp130,000","Rp130,000",Pesanan ID-20180107-487998
2018-01-06 22:50:25,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,"Rp120,000","Rp120,000",Pesanan ID-20180106-916346
2018-01-06 22:50:25,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",1,"Rp115,000","Rp115,000",Pesanan ID-20180106-916346
2018-01-06 21:56:16,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,"Rp120,000","Rp120,000",Pesanan ID-20180106-747402
2018-01-06 15:00:36,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,"Rp130,000","Rp130,000",Pesanan ID-20180106-660361
2018-01-06 13:50:49,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,"Rp125,000","Rp125,000",Pesanan ID-20180106-995226
2018-01-06 12:55:31,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,"Rp110,000","Rp110,000",Pesanan ID-20180106-159566
2018-01-06 12:55:31,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,"Rp130,000","Rp130,000",Pesanan ID-20180106-159566
2018-01-06 12:34:35,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",2,"Rp120,000","Rp240,000",Pesanan ID-20180106-448993
2018-01-06 12:05:40,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,"Rp125,000","Rp125,000",Pesanan ID-20180106-497805
2018-01-06 12:04:27,SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",1,"Rp125,000","Rp125,000",Pesanan ID-20180106-052436
2018-01-06 10:49:05,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,"Rp130,000","Rp130,000",Pesanan ID-20180106-191506
2018-01-06 10:49:05,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,"Rp110,000","Rp110,000",Pesanan ID-20180106-191506
2018-01-06 10:48:48,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,"Rp125,000","Rp125,000",Pesanan ID-20180106-963044
2018-01-06 9:46:52,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",1,"Rp115,000","Rp115,000",Pesanan ID-20180106-147883
2018-01-06 9:36:10,SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",1,"Rp115,000","Rp115,000",Pesanan ID-20180106-194221
