Waktu ,SKU,Nama Barang,Jumlah Pemesanan,Jumlah Diterima,Harga Beli ,Total,Nomer Kwitansi,Catatan
2018/01/02 11:20,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",62,47,"Rp74,000","Rp4,588,000",20180102-69539,2018/01/06 terima 47; Masih Menunggu
2018/01/02 7:13,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",63,35,"Rp61,000","Rp3,843,000",20180102-69458,2018/01/06 terima 35; Masih menunggu
2018/01/02 5:46,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",54,30,"Rp67,000","Rp3,618,000",20180102-69088,2018/01/06 terima 30; Masih menunggu
2017/12/18 2:02,SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",12,12,"Rp72,000","Rp864,000",20171218-52879,2017/12/22 terima 12
2017/12/15 6:16,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",158,158,"Rp66,000","Rp10,428,000",20171215-51963,2017/12/18 terima 76; 2017/12/20 terima 82
2017/12/15 1:48,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",28,28,"Rp63,000","Rp1,764,000",20171215-52086,2017/12/18 terima 28
2017/12/15 0:16,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",108,108,"Rp76,000","Rp8,208,000",20171215-52033,2017/12/18 terima 55; 2017/12/20 terima 53
2017/12/11 13:26,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",45,45,"Rp63,000","Rp2,835,000",20171211-80524,2017/12/15 terima 45
2017/12/09 6:45,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",43,43,"Rp75,000","Rp3,225,000",20171209-40417,2017/12/13 terima 43
2017/11/25 11:41,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",29,29,"Rp62,000","Rp1,798,000",20171125-41118,2017/11/29 terima 29
2017/11/25 5:37,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",28,28,"Rp69,000","Rp1,932,000",20171125-41065,2017/11/28 terima 28
2017/11/25 1:53,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",30,30,"Rp78,000","Rp2,340,000",20171125-41126,2017/11/29 terima 30
2017/11/21 10:39,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",33,33,"Rp68,000","Rp2,244,000",20171121-63197,2017/11/24 terima 33
2017/11/21 1:32,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",34,34,"Rp76,000","Rp2,584,000",20171121-62114,2017/11/24 terima 34
2017/11/15 18:05,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",41,41,"Rp73,000","Rp2,993,000",20171115-52505,2017/11/19 terima 41
2017/11/15 2:33,SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",41,41,"Rp79,000","Rp3,239,000",20171115-52471,2017/11/17 terima 41
2017/11/06 5:57,SSI-D01037807-X3-BWH,"Dellaya Plain Loose Big Blouse (XXXL,Broken White)",68,68,"Rp65,000","Rp4,420,000",20171106-53438,2017/11/10 terima 45; 2017/11/12 terima 23
2017/11/03 13:25,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",52,52,"Rp75,000","Rp3,900,000",20171103-27559,2017/11/05 terima 36; 2017/11/08 terima 16
2017/11/02 13:46,SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",40,40,"Rp73,000","Rp2,920,000",20171102-29823,2017/11/06 terima 40
2017/11/02 12:41,SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",48,48,"Rp70,000","Rp3,360,000",20171102-29903,2017/11/06 terima 48
2017/11/02 11:30,SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",26,26,"Rp72,000","Rp1,872,000",20171102-36271,2017/11/04 terima 26
2017/11/02 11:01,SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",44,44,"Rp67,000","Rp2,948,000",20171102-29675,2017/11/05 terima 44
2017/11/02 6:51,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",43,43,"Rp74,000","Rp3,182,000",20171102-29856,2017/11/06 terima 43
2017/11/02 0:18,SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",24,24,"Rp79,000","Rp1,896,000",(Hilang),2017/11/05 terima 24
2017/11/01 16:51,SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",83,83,"Rp74,000","Rp6,142,000",20171101-49596,2017/11/05 terima 61; 2017/11/08 terima 22
